StreetName,FullAddress,Post_Code,County,Lat,Long,Nbrhd_Comm
Morrill,1740 Morrill Ave,95132.0,Santa Clara,37.40385321,-121.8660501,
Mt Vernon,1740 Mt Vernon Dr,95125.0,Santa Clara,37.29098685,-121.9166805,
Myra,1740 Myra Dr,95124.0,Santa Clara,37.23677047,-121.9121466,
4th,1740 N 4th St,95112.0,Santa Clara,37.36818045,-121.9096248,
Pine Hollow,1740 Pine Hollow Cir,95133.0,Santa Clara,37.36813374,-121.8615465,
Queens Crossing,1740 Queens Crossing Dr,95132.0,Santa Clara,37.40508314,-121.8636148,
Capitol,1055 N Capitol Ave 101,95133.0,Santa Clara,37.38290619,-121.8596951,
Quimby,1740 Quimby Rd,95122.0,Santa Clara,37.32873144,-121.8210633,
Ravens Place,1740 Ravens Place Way,95121.0,Santa Clara,37.30086932,-121.8050986,
Ridgetree,1740 Ridgetree Way,95131.0,Santa Clara,37.39886076,-121.8776143,
River Birch,1740 River Birch Dr,95131.0,Santa Clara,37.37406216,-121.8743612,
Rock Spring,1740 Rock Spring Dr Unit 1,95112.0,Santa Clara,37.31889689,-121.856118,
Rock Spring,1740 Rock Spring Dr Unit 2,95112.0,Santa Clara,37.31891271,-121.8560899,
Rock Spring,1740 Rock Spring Dr Unit 3,95112.0,Santa Clara,37.31892732,-121.8560633,
Rock Spring,1740 Rock Spring Dr Unit 4,95112.0,Santa Clara,37.3189504,-121.8560264,
Capitol,1055 N Capitol Ave 102,95133.0,Santa Clara,37.38288142,-121.8596971,
Sageland,1740 Sageland Dr,95131.0,Santa Clara,37.38028027,-121.8759407,
Samson,1740 Samson Ct,95124.0,Santa Clara,37.25331836,-121.9120086,
San Tomas Aquino,1740 San Tomas Aquino Rd,95130.0,Santa Clara,37.29114786,-121.9762578,
Silverwood,1740 Silverwood Dr,95124.0,Santa Clara,37.26192864,-121.9109544,
Sundown,1740 Sundown Ln,95127.0,Santa Clara,37.34401716,-121.8143267,
Sweetbriar,1740 Sweetbriar Dr,95125.0,Santa Clara,37.28175139,-121.910394,
Technology,1740 Technology Dr Ste 500,95110.0,Santa Clara,37.36788853,-121.9179384,
Technology,1740 Technology Dr Ste 110,95110.0,Santa Clara,37.36782869,-121.9178379,
Technology,1740 Technology Dr Ste 150,95110.0,Santa Clara,37.36753878,-121.9181839,
Technology,1740 Technology Dr Ste 200,95110.0,Santa Clara,37.36771358,-121.9182965,
Branham,100 Branham Ln E Unit 1209,95111.0,Santa Clara,37.26827525,-121.8223397,
Capitol,1055 N Capitol Ave 103,95133.0,Santa Clara,37.3828276,-121.8596199,
Technology,1740 Technology Dr Ste 205,95110.0,Santa Clara,37.36776368,-121.9179036,
Technology,1740 Technology Dr Ste 210,95112.0,Santa Clara,37.36755894,-121.917491,
Technology,1740 Technology Dr Ste 250,95110.0,Santa Clara,37.36762085,-121.9179264,
Technology,1740 Technology Dr Ste 260,95110.0,Santa Clara,37.36763364,-121.9178446,
Technology,1740 Technology Dr Ste 270,95112.0,Santa Clara,37.36755853,-121.9175254,
Technology,1740 Technology Dr Ste 300,95110.0,Santa Clara,37.36768693,-121.918039,
Technology,1740 Technology Dr Ste 400,95110.0,Santa Clara,37.36766135,-121.9180913,
Technology,1740 Technology Dr Ste 460,95110.0,Santa Clara,37.36767414,-121.9180672,
Technology,1740 Technology Dr Ste 550,95110.0,Santa Clara,37.36748762,-121.9182402,
Topeka,1740 Topeka Ave,95126.0,Santa Clara,37.32916522,-121.9281977,
Capitol,1055 N Capitol Ave 104,95133.0,Santa Clara,37.38280282,-121.8596229,
University,1740 University Way,95126.0,Santa Clara,37.3324681,-121.9318513,
Valpico,1740 Valpico Dr,95124.0,Santa Clara,37.27462534,-121.9115655,
Flores,1740 Via Flores Ct,95132.0,Santa Clara,37.40129273,-121.8772036,
Wayne,1740 Wayne Cir,95131.0,Santa Clara,37.3881784,-121.8967755,
Willow Lake,1740 Willow Lake Ln,95131.0,Santa Clara,37.38558379,-121.8912288,
Woodridge,1740 Woodridge Way,95127.0,Santa Clara,37.34565749,-121.8115236,
Yerba Buena,1740 Yerba Buena Rd,95121.0,Santa Clara,37.29899792,-121.8035437,
Abington,1741 Abington Ct,95131.0,Santa Clara,37.37544472,-121.8723108,
Berryessa,1741 Berryessa Rd A,95133.0,Santa Clara,37.37516349,-121.8726599,
Berryessa,1741 Berryessa Rd B,95133.0,Santa Clara,37.37521144,-121.872747,
Capitol,1055 N Capitol Ave 105,95133.0,Santa Clara,37.38318223,-121.8602745,
Berrywood,1741 Berrywood Dr,95133.0,Santa Clara,37.35986355,-121.8607876,
Birch Lake,1741 Birch Lake Ct,95131.0,Santa Clara,37.38470123,-121.8928853,
Biscayne,1741 Biscayne Way,95122.0,Santa Clara,37.33518203,-121.8361719,
Braddock,1741 Braddock Ct,95125.0,Santa Clara,37.29497118,-121.9231879,
Cambria,1741 Cambria Ct,95124.0,Santa Clara,37.25362742,-121.912606,
Cape Misty,1741 Cape Misty Dr,95133.0,Santa Clara,37.37480216,-121.8714555,
Castlegate,1741 Castlegate Dr,95132.0,Santa Clara,37.40565009,-121.8619814,
Cleveland,1741 Cleveland Ave,95126.0,Santa Clara,37.32903892,-121.9277876,
Clovis,1741 Clovis Ave,95124.0,Santa Clara,37.23920514,-121.9125541,
Cooley,1741 Cooley Dr,95116.0,Santa Clara,37.3486981,-121.8493816,
Capitol,1055 N Capitol Ave 106,95133.0,Santa Clara,37.38315946,-121.8602736,
Coralee,1741 Coralee Dr,95124.0,Santa Clara,37.24905128,-121.9126593,
Crane Ridge,1741 Crane Ridge Ct,95121.0,Santa Clara,37.29583668,-121.8011188,
Creekstone,1741 Creekstone Cir,95133.0,Santa Clara,37.36865487,-121.8677515,
Curtner,1741 Curtner Ave,95124.0,Santa Clara,37.28035907,-121.9129068,
Dorrance,1741 Dorrance Dr,95125.0,Santa Clara,37.28514484,-121.9123597,
El Codo,1741 El Codo Way,95124.0,Santa Clara,37.27292501,-121.9133585,
Fabian,1741 Fabian Dr,95124.0,Santa Clara,37.27403557,-121.9124271,
Fallbrook,1741 Fallbrook Ave,95130.0,Santa Clara,37.2908664,-121.984192,
Flint Creek,1741 Flint Creek Way,95148.0,Santa Clara,37.35309772,-121.7914407,
Foley,1741 Foley Ave,95122.0,Santa Clara,37.32921131,-121.8390039,
Capitol,1055 N Capitol Ave 107,95133.0,Santa Clara,37.38323181,-121.8601862,
Frobisher,1741 Frobisher Way,95124.0,Santa Clara,37.27896644,-121.9132332,
Fumia,1741 Fumia Ct,95131.0,Santa Clara,37.38936653,-121.897791,
Galewood,1741 Galewood Ct,95133.0,Santa Clara,37.36094558,-121.8618618,
Guadalupe,1741 Guadalupe Ave,95125.0,Santa Clara,37.30198567,-121.8812526,
Hallmark,1741 Hallmark Ln,95124.0,Santa Clara,37.26166986,-121.9108516,
Harmil,1741 Harmil Way,95125.0,Santa Clara,37.29903873,-121.8897019,
Harte,1741 Harte Dr,95124.0,Santa Clara,37.27559522,-121.9126254,
Hayford,1741 Hayford Dr,95130.0,Santa Clara,37.29110107,-121.9740009,
Hillsdale,1741 Hillsdale Ave,95124.0,Santa Clara,37.26570416,-121.9128056,
Home Gate,1741 Home Gate Dr,95148.0,Santa Clara,37.34071092,-121.818639,
Capitol,1055 N Capitol Ave 108,95133.0,Santa Clara,37.383211,-121.8601882,
Hudson,1741 Hudson Dr,95124.0,Santa Clara,37.27729273,-121.9130838,
Johnston,1741 Johnston Ave,95125.0,Santa Clara,37.30070395,-121.8864166,
Junction,1741 Junction Ave,95112.0,Santa Clara,37.37673238,-121.9070208,
King,1741 King Ct,95122.0,Santa Clara,37.31235427,-121.8142389,
Laurelwood,1741 Laurelwood Dr,95125.0,Santa Clara,37.28264671,-121.911652,
Ledgewood,1741 Ledgewood Dr,95124.0,Santa Clara,37.26495951,-121.9124483,
Leeward,1741 Leeward Dr,95122.0,Santa Clara,37.3407714,-121.8225104,
Lorenzen,1741 Lorenzen Dr,95124.0,Santa Clara,37.27653674,-121.9128029,
Lucca,1741 Lucca Pl,95138.0,Santa Clara,37.27814393,-121.7795023,
Marigold,1741 Marigold Ct,95133.0,Santa Clara,37.36041117,-121.86136,
Capitol,1055 N Capitol Ave 109,95133.0,Santa Clara,37.38333799,-121.8601631,
Marina,1741 Marina Way,95125.0,Santa Clara,37.29213098,-121.9166957,
Maykirk,1741 Maykirk Ct,95124.0,Santa Clara,37.28531717,-121.9140919,
Maysong,1741 Maysong Ct,95131.0,Santa Clara,37.37811032,-121.8748453,
Mendenhall,1741 Mendenhall Dr,95130.0,Santa Clara,37.29108839,-121.9749209,
Messina,1741 Messina Dr,95132.0,Santa Clara,37.40696219,-121.8595166,
Minas De Oro,1741 Minas De Oro,95116.0,Santa Clara,37.35842493,-121.8581609,
Mossbrook,1741 Mossbrook Ave,95130.0,Santa Clara,37.29029786,-121.9836108,
Mt Vernon,1741 Mt Vernon Dr,95125.0,Santa Clara,37.29142068,-121.9166939,
Nomark,1741 Nomark Ct,95125.0,Santa Clara,37.29313711,-121.9039958,
Capitol,1055 N Capitol Ave 11,95133.0,Santa Clara,37.38358181,-121.8584536,
Oldtree,1741 Oldtree Ct,95131.0,Santa Clara,37.40007613,-121.8787006,
Parkview Green,1741 Parkview Green Cir,95131.0,Santa Clara,37.37860023,-121.8829234,
Quimby,1741 Quimby Rd,95122.0,Santa Clara,37.32862544,-121.8209503,
Ridgetree,1741 Ridgetree Way,95131.0,Santa Clara,37.39848842,-121.8780788,
Rogers,1741 Rogers Ave,95112.0,Santa Clara,37.37633337,-121.9098554,
Sageland,1741 Sageland Dr,95131.0,Santa Clara,37.38046662,-121.8764154,
Santa Lucia,1741 Santa Lucia Dr,95125.0,Santa Clara,37.30195815,-121.9161126,
Saratoga,1741 Saratoga Ave,95129.0,Santa Clara,37.29057553,-121.9941377,
Saratoga,1741 Saratoga Ave Ste 102,95129.0,Santa Clara,37.29060572,-121.9939438,
Capitol,1055 N Capitol Ave 110,95133.0,Santa Clara,37.38330834,-121.86016,
Saratoga,1741 Saratoga Ave Ste 105,95129.0,Santa Clara,37.29060528,-121.9939782,
Saratoga,1741 Saratoga Ave Ste 106,95129.0,Santa Clara,37.29057914,-121.9938745,
Saratoga,1741 Saratoga Ave Ste 107,95129.0,Santa Clara,37.2905787,-121.9939089,
Saratoga,1741 Saratoga Ave Ste 109,95129.0,Santa Clara,37.29057826,-121.9939432,
Saratoga,1741 Saratoga Ave Ste 111,95129.0,Santa Clara,37.29057782,-121.9939776,
Saratoga,1741 Saratoga Ave Ste 200,95129.0,Santa Clara,37.29055168,-121.9938739,
Saratoga,1741 Saratoga Ave Ste 201,95129.0,Santa Clara,37.29055124,-121.9939083,
Saratoga,1741 Saratoga Ave Ste 205,95129.0,Santa Clara,37.2905508,-121.9939427,
Saratoga,1741 Saratoga Ave Ste 206,95129.0,Santa Clara,37.29055036,-121.9939771,
Saratoga,1741 Saratoga Ave Ste 207,95129.0,Santa Clara,37.29052421,-121.9938734,
Capitol,1055 N Capitol Ave 111,95133.0,Santa Clara,37.38338912,-121.8600681,
Saratoga,1741 Saratoga Ave Ste 209,95129.0,Santa Clara,37.29052378,-121.9939078,
Saratoga,1741 Saratoga Ave Ste 210,95129.0,Santa Clara,37.29052334,-121.9939421,
Saratoga,1741 Saratoga Ave Ste 213,95129.0,Santa Clara,37.2905229,-121.9939765,
Seville,1741 Seville Way,95131.0,Santa Clara,37.37909628,-121.8743012,
Silver Creek,1741 Silver Creek Ct,95121.0,Santa Clara,37.30035849,-121.8040858,
Silvertree,1741 Silvertree Dr,95131.0,Santa Clara,37.3930485,-121.8823961,
Silverwood,1741 Silverwood Dr,95124.0,Santa Clara,37.26222295,-121.9114042,
